75946382;-5;-5;1;-2;-4;6;4;0;
75947490;0;-6;14;0;0;-9;2;-3;
75948594;-124;-21;-16;-20;-21;-22;-7;-12;
75949699;3;-8;-14;-1;-11;-10;-14;-3;
75950788;8;-3;8;-6;2;0;2;-10;
75951891;0;-14;-15;-38;18;-6;-10;-15;
75953003;-10;-7;-4;-7;1;-6;6;-5;
75954118;9;6;0;13;3;0;0;14;
75955224;2;12;22;5;13;15;26;0;
75956336;-23;-24;-21;-22;-10;-23;-14;-23;
75957490;10;0;-6;-10;-1;1;-9;-10;
75958590;-5;0;3;6;1;1;-5;7;
75959679;0;-5;-9;-9;-9;3;8;-6;
75960812;3;-21;-9;2;-12;-65;-9;3;
75961930;-9;9;1;-9;14;-4;0;0;
75963040;-10;-9;-9;-12;-14;-15;-19;-14;
75964140;-4;9;2;-1;2;7;7;-3;
75965278;-6;29;-1;-1;-51;-6;3;-6;
75966386;3;9;18;7;4;3;5;14;
75967493;1;2;6;7;-2;42;3;8;
75968587;-28;35;-11;42;13;-1;16;1;
75969696;-43;-38;-42;-36;-34;-42;-42;-18;
75970811;-10;-26;-8;-39;-10;-19;-23;-31;
75971903;-21;-9;-19;-15;-8;-24;-21;-16;
75973017;-9;-14;-11;-10;-4;-7;-6;-7;
75974105;-5;2;0;5;6;-7;-4;2;
75975224;4;4;8;14;20;4;3;32;
75976321;-12;-3;-13;-7;-7;-19;-3;2;
75977439;-45;-37;-31;-50;-47;-39;-40;-45;
75978536;-8;-8;2;-7;7;-5;-14;-14;
75979624;-9;4;-16;0;12;-17;1;-14;
75980729;13;-6;-1;0;-2;4;-2;-5;
75981840;22;9;10;-2;-3;-2;-6;-5;
75982955;3;-5;-1;-1;-39;-10;-10;-10;
75984045;-7;-2;-4;-13;-3;-13;-4;-15;
75985158;9;18;-3;-5;6;-2;-3;-10;
75986248;12;11;7;10;12;2;-2;36;
75987357;-8;0;-4;-6;-12;5;17;1;
75988466;-3;-21;-24;-1;-17;-5;-14;-21;
75989594;0;-8;-2;-7;-6;-13;4;-9;
75990692;11;14;8;7;17;4;3;8;
75991799;-8;-3;3;-5;-3;-5;3;32;
75992884;2;2;-6;2;-3;11;14;3;
75993985;-6;9;8;4;3;-10;16;-6;
75995073;-1;-16;-60;-21;-4;-7;0;-24;
75996174;19;-7;3;10;9;4;0;-20;
75997301;10;22;6;-3;-3;6;-3;-28;
75998398;-32;-10;-23;-12;-19;-7;-18;-18;
